iter	Passed	Remaining
405	4920	7198
406	4926	7177
407	4931	7155
408	4938	7135
409	4943	7113
410	4949	7092
411	4954	7071
412	4960	7050
413	4966	7029
414	4971	7008
415	4977	6987
416	4983	6966
417	4988	6946
418	4994	6925
419	5000	6905
420	5006	6885
421	5011	6864
422	5017	6843
423	5022	6823
424	5028	6802
425	5033	6782
426	5039	6762
427	5048	6746
428	5060	6735
429	5071	6722
430	5084	6711
431	5094	6698
432	5104	6684
433	5114	6670
434	5125	6657
435	5135	6643
436	5144	6627
437	5149	6607
438	5155	6588
439	5161	6568
440	5166	6549
441	5172	6529
442	5177	6510
443	5183	6490
444	5189	6471
445	5196	6454
446	5202	6436
447	5208	6417
448	5213	6398
449	5218	6378
450	5224	6359
451	5229	6340
452	5235	6321
453	5241	6303
454	5246	6284
455	5252	6265
456	5258	6247
457	5263	6228
458	5268	6210
459	5274	6191
460	5279	6172
461	5284	6153
462	5289	6135
463	5294	6116
464	5300	6098
465	5305	6079
466	5310	6061
467	5315	6042
468	5321	6024
469	5325	6005
470	5331	5987
471	5336	5969
472	5341	5951
473	5349	5936
474	5355	5919
475	5360	5901
476	5366	5883
477	5371	5866
478	5377	5848
479	5382	5831
480	5387	5813
481	5393	5795
482	5398	5778
483	5404	5761
484	5411	5746
485	5416	5728
486	5422	5711
487	5428	5694
488	5434	5679
489	5439	5661
490	5445	5644
491	5450	5628
492	5456	5611
493	5462	5594
494	5467	5578
495	5473	5561
496	5478	5544
497	5484	5528
498	5490	5512
499	5495	5495
500	5500	5478
501	5510	5466
502	5518	5452
503	5523	5435
504	5528	5419
505	5533	5402
506	5538	5385
507	5543	5369
508	5548	5352
509	5553	5336
510	5559	5319
511	5564	5303
512	5569	5286
513	5574	5270
514	5579	5254
515	5585	5238
516	5590	5222
517	5595	5206
518	5601	5190
519	5607	5175
520	5613	5161
521	5619	5146
522	5625	5130
523	5631	5115
524	5636	5099
525	5642	5085
526	5648	5069
527	5657	5057
528	5663	5042
529	5679	5036
530	5693	5028
531	5707	5021
532	5720	5012
533	5732	5002
534	5744	4992
535	5764	4990
536	5771	4976
537	5777	4961
538	5784	4947
539	5790	4932
540	5796	4918
541	5803	4903
542	5809	4889
543	5817	4876
544	5825	4863
545	5832	4849
546	5837	4834
547	5843	4819
548	5849	4805
549	5854	4790
550	5860	4775
551	5865	4760
552	5871	4745
553	5876	4730
554	5881	4716
555	5887	4701
556	5892	4686
557	5897	4671
558	5903	4657
559	5908	4642
560	5914	4628
561	5919	4613
562	5924	4598
563	5930	4584
564	5935	4570
565	5941	4555
566	5948	4542
567	5952	4527
568	5958	4513
569	5967	4501
570	5984	4496
571	6006	4494
572	6028	4492
573	6041	4483
574	6056	4476
575	6066	4465
576	6079	4456
577	6089	4445
578	6099	4435
579	6110	4424
580	6121	4414
581	6131	4403
582	6142	4393
583	6153	4383
584	6163	4372
585	6173	4361
586	6184	4351
587	6196	4341
588	6207	4331
589	6217	4320
590	6222	4306
591	6228	4292
592	6233	4278
593	6238	4264
594	6244	4250
595	6250	4236
596	6255	4222
597	6261	4208
598	6266	4195
599	6272	4181
600	6277	4167
601	6283	4154
602	6289	4140
603	6296	4128
604	6307	4118
605	6318	4108
606	6329	4097
607	6339	4087
608	6349	4076
609	6359	4065
610	6367	4053
611	6372	4040
612	6378	4026
613	6383	4013
614	6390	4000
615	6400	3989
616	6411	3979
617	6421	3969
618	6431	3958
619	6442	3948
620	6452	3937
621	6462	3927
622	6472	3917
623	6484	3907
624	6496	3897
625	6506	3887
626	6516	3876
627	6527	3866
628	6539	3857
629	6549	3846
630	6558	3835
631	6570	3825
632	6582	3816
633	6592	3805
634	6602	3795
635	6613	3785
636	6620	3772
637	6625	3759
638	6630	3745
639	6639	3734
640	6650	3724
641	6662	3715
642	6687	3713
643	6699	3703
644	6710	3693
645	6721	3683
646	6726	3670
647	6732	3657
648	6741	3645
649	6751	3635
650	6761	3624
651	6771	3614
652	6779	3602
653	6784	3589
654	6790	3576
655	6795	3563
656	6801	3550
657	6807	3538
658	6812	3525
659	6818	3512
660	6823	3499
661	6829	3486
662	6834	3474
663	6840	3461
664	6845	3448
665	6850	3435
666	6855	3422
667	6860	3409
668	6865	3396
669	6870	3383
670	6875	3371
671	6880	3358
672	6885	3345
673	6896	3335
674	6907	3325
675	6918	3316
676	6925	3304
677	6930	3291
678	6935	3278
679	6940	3266
680	6945	3253
681	6950	3240
682	6955	3228
683	6960	3215
684	6966	3203
685	6971	3191
686	6976	3178
687	6982	3166
688	6987	3154
689	6993	3141
690	6998	3129
691	7003	3117
692	7009	3105
693	7014	3092
694	7019	3080
695	7024	3068
696	7029	3056
697	7034	3043
698	7039	3031
699	7045	3019
700	7049	3007
701	7054	2994
702	7060	2982
703	7065	2970
704	7069	2958
705	7074	2946
706	7079	2934
707	7085	2922
708	7090	2910
709	7096	2898
710	7101	2886
711	7106	2874
712	7112	2862
713	7117	2851
714	7122	2839
715	7128	2827
716	7133	2815
717	7139	2803
718	7145	2792
719	7150	2780
720	7155	2768
721	7160	2757
722	7166	2745
723	7171	2733
724	7176	2722
725	7181	2710
