iter	Logloss
185	0.2801389494
186	0.2799998916
187	0.2799069932
188	0.2798550161
189	0.2797507543
190	0.2796400958
191	0.2794471248
192	0.279317975
193	0.2789834937
194	0.2788800554
195	0.2787902699
196	0.2786522227
197	0.2785912676
198	0.2784545358
199	0.2783454687
200	0.2782815306
201	0.2782063014
202	0.2779220394
203	0.27784773
204	0.2774709917
205	0.2773419785
206	0.277242441
207	0.2771925395
208	0.277101752
209	0.2770161994
210	0.2769436979
211	0.2768930994
212	0.2767968237
213	0.2767066594
214	0.2766270839
215	0.2765412439
216	0.2764363725
217	0.276359009
218	0.276293306
219	0.2761775587
220	0.276121247
221	0.2760352734
222	0.2759723191
223	0.2758602051
224	0.2757927624
225	0.2755385801
226	0.2755020534
227	0.2753999806
228	0.2753247233
229	0.2752605631
230	0.2750890532
231	0.2749906879
232	0.2748945761
233	0.2748454039
234	0.2747496755
235	0.2746538957
236	0.2741500993
237	0.2740664362
238	0.2739487122
239	0.2739012245
240	0.2738150665
241	0.2737260431
242	0.2736460119
243	0.2734775852
244	0.2734152652
245	0.2730729823
246	0.2729788042
247	0.2729258528
248	0.2728527571
249	0.2725437057
250	0.2723105035
251	0.2722267023
252	0.272149099
253	0.2720362229
254	0.2719536795
255	0.2718857429
256	0.2718433015
257	0.2717661335
258	0.2716815419
259	0.2716053169
260	0.2715279151
261	0.2714502661
262	0.2713770776
263	0.2713301434
264	0.2712457363
265	0.2711454918
266	0.2710297939
267	0.2709340245
268	0.2708796945
269	0.2707495718
270	0.2705962951
271	0.2705023718
272	0.2704211941
273	0.27033637
274	0.270281798
275	0.2699710227
276	0.2698949965
277	0.2698292064
278	0.2697819958
279	0.26975042
280	0.2695055377
281	0.2692457671
282	0.269186574
283	0.2690736605
284	0.2688172451
285	0.2687457374
286	0.268661268
287	0.2685590896
288	0.2685006666
289	0.2684037214
290	0.268338426
291	0.2683024831
292	0.2682185085
293	0.2681599769
294	0.2680850285
295	0.2680075317
296	0.2679393821
297	0.2679003762
298	0.2678277261
299	0.2677635464
300	0.2676882059
301	0.2676184126
302	0.2674766218
303	0.2674203442
304	0.267322502
305	0.2672497108
306	0.2671793031
307	0.2671137502
308	0.267054318
309	0.2669933339
310	0.2669304318
311	0.2668703202
312	0.2668215905
313	0.2667506534
314	0.2667118272
315	0.2666457963
316	0.2665513602
317	0.2664996915
318	0.2664400342
319	0.2663990818
320	0.2663221777
321	0.2662720104
322	0.2662036976
323	0.2661378086
324	0.2660799436
325	0.2660276153
326	0.2659272348
327	0.2658543228
328	0.2658167602
329	0.2657380334
330	0.2657093894
331	0.2656200448
332	0.265569468
333	0.2655274691
334	0.2654935672
335	0.2654018335
336	0.2653462477
337	0.2652847593
338	0.2650726097
339	0.2650310611
340	0.2649685837
341	0.2648799017
342	0.264809706
343	0.2647481083
344	0.2646979961
345	0.2646585967
346	0.2645973438
347	0.2644629922
348	0.2644123473
349	0.2643763795
350	0.2643210619
351	0.2642533858
352	0.2642071257
353	0.2641506122
354	0.2640782721
355	0.2640075533
356	0.2639510964
357	0.2638953656
358	0.2638599473
359	0.2638234464
360	0.2637588153
361	0.2635455618
362	0.2634892694
363	0.2633976514
364	0.2633490777
365	0.2632901361
366	0.2632238066
367	0.263188947
368	0.263137522
369	0.2630836525
370	0.2630328046
371	0.262964387
372	0.2629256106
373	0.262903407
374	0.2628248656
375	0.262767811
376	0.2627154567
377	0.2626807444
378	0.2626325795
379	0.2625862477
380	0.2625341829
381	0.2624877715
382	0.2624402248
383	0.2623883744
384	0.2623171906
385	0.262268021
386	0.2622255016
387	0.2621828604
388	0.2621219754
389	0.2620426715
390	0.2620019569
391	0.2619251907
392	0.2618664336
393	0.2618226581
394	0.2617890166
395	0.261741314
396	0.2616766645
397	0.2615771522
398	0.2615306189
399	0.2614723088
400	0.2614326017
401	0.2613795757
402	0.2613492317
403	0.2613035204
404	0.2612392825
405	0.2611912301
406	0.2611254341
407	0.2610783452
408	0.261023309
409	0.260941175
410	0.2608990317
411	0.2608774911
412	0.260796582
413	0.2607424545
414	0.260690172
415	0.2606546529
416	0.2605949377
417	0.2605141769
418	0.2604654924
419	0.2604210006
420	0.2603377853
421	0.2603038572
422	0.2602484223
423	0.2602011265
424	0.2601345145
425	0.2600911444
426	0.2600538152
427	0.2599979378
428	0.259943261
429	0.259913366
430	0.2598819205
431	0.2598288469
432	0.2597977613
433	0.259773175
434	0.2597180784
435	0.2596516596
436	0.2596043088
437	0.2595621579
438	0.2595343384
439	0.2594853063
440	0.2594323964
441	0.2593850869
442	0.2593297035
443	0.2592883081
444	0.2592339636
445	0.259193851
446	0.2591177403
447	0.2590730005
448	0.2590278447
449	0.2590093821
450	0.2589654025
451	0.2589172132
452	0.2588743408
453	0.2588183889
454	0.2587707801
455	0.2587112723
456	0.2586582783
457	0.2586315859
458	0.2585697112
459	0.2585128956
460	0.2584777614
461	0.2584093565
462	0.258361692
463	0.2583357247
464	0.2582851173
465	0.2582298087
466	0.2581922789
467	0.258152849
468	0.2581072304
469	0.2580363337
470	0.2579989296
471	0.2579449677
472	0.2579088388
473	0.2578710302
474	0.2578323167
475	0.257804347
476	0.2577526929
477	0.2577197165
478	0.2576539703
479	0.2576081034
480	0.2575758026
481	0.2575286933
482	0.257483816
483	0.2574214672
484	0.2573594908
485	0.2573152461
486	0.2572708628
487	0.2572358113
488	0.257115982
489	0.2570737955
490	0.2570347561
491	0.2569905949
492	0.2569392147
493	0.2568950288
494	0.2568551145
495	0.2568165112
496	0.2567844602
497	0.2567412544
498	0.2567042701
499	0.2566391563
500	0.2565851274
501	0.256544131
502	0.2564985838
503	0.2564423008
504	0.2563907874
505	0.256330374
506	0.2563065781
507	0.2562620638
508	0.2562014134
509	0.2561793049
510	0.2561393304
511	0.2560967754
512	0.2560517751
513	0.2560069006
514	0.2559506898
515	0.2558492742
516	0.2557967846
517	0.2557510488
518	0.2557089533
519	0.2556517059
520	0.2555957458
521	0.2555545479
522	0.2555090836
523	0.2554694992
524	0.2554240884
525	0.2553764024
526	0.255325055
527	0.2552797713
528	0.2552379183
529	0.2551962827
530	0.255168745
531	0.255134343
532	0.2550622672
533	0.2550173865
534	0.2549780999
535	0.2549402434
536	0.2548926496
537	0.2548385602
538	0.2548077829
539	0.2547755389
540	0.2547343894
541	0.2546999219
542	0.2546712864
543	0.2546392226
544	0.2545648251
545	0.2545171554
546	0.2544790661
547	0.2544126137
548	0.2543562166
549	0.2543176318
550	0.2542933949
551	0.2542503583
552	0.2541934335
553	0.2541444628
554	0.254099995
555	0.2540612562
556	0.2540466831
557	0.2540143312
558	0.2539695358
559	0.2539447341
560	0.2539231179
561	0.2539082918
562	0.2538727748
563	0.2538165802
564	0.2537924292
565	0.2537502469
566	0.253711673
567	0.2536548437
568	0.2536163019
569	0.2535550246
570	0.2534932875
571	0.2534530507
572	0.2534187923
573	0.2533906344
574	0.2533479054
575	0.2533080152
576	0.2532738577
577	0.2532382828
578	0.2531836514
579	0.2531096744
580	0.2530682524
581	0.2530021904
582	0.252952156
583	0.2529064287
584	0.2528589758
585	0.2528188338
586	0.2527872565
587	0.2527365027
588	0.2527031419
589	0.2526635312
590	0.2526414663
591	0.2525980285
592	0.2525688509
593	0.2525147642
594	0.2524908688
595	0.2524492251
596	0.252402861
597	0.252353795
598	0.2523018528
599	0.2522652203
600	0.2522282972
601	0.2521380099
602	0.252086227
603	0.2520402274
604	0.2519983091
605	0.2519669519
606	0.2519274338
607	0.2518947397
608	0.2518486189
609	0.2518063277
610	0.2517710979
611	0.2517417872
612	0.2517028293
613	0.2516644744
614	0.2516438795
615	0.2516190581
616	0.2515443679
617	0.2514900122
618	0.2514651165
619	0.2514271194
620	0.2513685363
621	0.2513200031
622	0.2512881426
623	0.251247924
624	0.2512157202
625	0.2511794562
626	0.2511553084
627	0.2511044381
628	0.2510807824
629	0.251044258
630	0.2510029991
631	0.2509768039
632	0.2509120001
633	0.2508661693
634	0.2508259769
635	0.2507748304
636	0.2507408433
637	0.2506975385
638	0.2506608602
639	0.2506324347
640	0.2506040391
641	0.2505687249
642	0.2505342113
643	0.2504948206
644	0.2504816615
645	0.2504432553
646	0.2504038666
647	0.2503686233
648	0.2503225737
649	0.2502895082
650	0.2502513397
651	0.2502198763
652	0.2501835555
653	0.2501509969
654	0.2501296033
655	0.2500901832
656	0.2500449751
657	0.2500095565
658	0.2499573838
659	0.2499236454
660	0.2498643133
661	0.2498104253
662	0.2497705838
663	0.249714442
664	0.2496749556
665	0.2496284627
666	0.2495869132
667	0.2495569352
668	0.2495256041
669	0.2494601047
670	0.2494169538
671	0.2493972046
672	0.2493604105
673	0.2493271576
674	0.2492967413
675	0.2492593904
676	0.2492316247
677	0.2491859767
678	0.2491688709
679	0.2491066691
680	0.2490609993
681	0.2490380282
682	0.248989187
683	0.2489530105
684	0.2489196152
685	0.2489032827
686	0.2488742526
687	0.2488397421
688	0.2488113342
689	0.2487731572
690	0.2487377296
691	0.2486721944
692	0.2486470791
693	0.2486159433
694	0.2485634665
695	0.2485043646
696	0.2484520104
697	0.2484067196
698	0.2483306892
699	0.2482702482
700	0.2482465451
701	0.2482071089
702	0.2481509151
703	0.2481305808
704	0.2481059936
705	0.2480637608
706	0.2480226486
707	0.2479870829
708	0.2479436673
709	0.2478809104
710	0.2478506479
711	0.2478142328
712	0.2477729168
713	0.2477266084
714	0.2477033031
715	0.2476858607
716	0.2476642509
717	0.2476258911
718	0.2475743782
719	0.2475473318
720	0.2475169444
721	0.2474847276
722	0.2474580341
723	0.2474150045
724	0.2473869902
725	0.2473347266
726	0.2472875369
727	0.247265189
728	0.2472125906
729	0.2471894328
730	0.2471677212
731	0.2471542596
732	0.2471247864
733	0.2470918055
734	0.2470644041
735	0.2470095763
736	0.2469532853
737	0.2469190477
738	0.2468919486
739	0.246859089
740	0.2468137022
741	0.2467822145
742	0.2467431506
743	0.2466995437
744	0.2466594616
745	0.2466279367
746	0.2465802559
747	0.2465557862
748	0.2465006153
749	0.2464630009
750	0.2464233886
751	0.2463953723
752	0.2463510856
753	0.2462912677
754	0.2462623537
755	0.2462279521
756	0.246216251
757	0.2461821829
758	0.2460943939
759	0.2460461042
760	0.2460306614
761	0.245981699
762	0.2459325936
763	0.2458703102
764	0.2458466862
765	0.2457963004
766	0.2457455584
767	0.2457245602
768	0.2457027258
769	0.2456451765
770	0.2456062087
771	0.2455810989
772	0.2455469143
773	0.2455170569
774	0.245496812
775	0.2454483686
776	0.245433267
777	0.2453960379
778	0.2453680601
779	0.2453192462
780	0.2452936039
781	0.2452569099
782	0.245241148
783	0.2452239243
784	0.2452056515
785	0.2451694762
786	0.245127427
787	0.2450129046
788	0.2449766295
789	0.2449339204
790	0.2449034692
791	0.2448690329
792	0.2448337092
793	0.2448059992
794	0.2447660941
795	0.244723695
796	0.2446841365
797	0.2446593259
798	0.2446426016
799	0.2446100693
800	0.2445749577
801	0.244524221
802	0.2444799738
803	0.2444612644
804	0.2443866471
805	0.2443604442
806	0.2443407283
807	0.2443209787
808	0.2442778012
809	0.2442565408
810	0.2442145118
811	0.2441901666
812	0.2441433679
813	0.244112885
814	0.2440822397
815	0.2440509645
816	0.2440225417
817	0.2439963816
818	0.2439269511
819	0.243902119
820	0.243867347
821	0.2438022675
822	0.2437848946
823	0.2437683738
824	0.2437290223
825	0.2436948825
826	0.2436638804
827	0.2436289349
828	0.2435775614
829	0.2435393217
830	0.2435078003
831	0.2434715384
832	0.2434369184
833	0.2433974002
834	0.2433866496
835	0.2433557157
836	0.2433169597
837	0.2432655349
838	0.2432076922
839	0.2431653422
840	0.2431256045
841	0.2431065806
842	0.2430558708
843	0.2430242234
844	0.2430089007
845	0.2429748534
846	0.2428805757
847	0.24286528
848	0.2428329348
849	0.2428065587
850	0.2427566653
851	0.2426931566
852	0.2426692154
853	0.2426314709
854	0.2425945083
855	0.2425647707
856	0.242539943
857	0.2425151682
858	0.2424850373
859	0.2424360502
860	0.242394251
861	0.2423580912
862	0.2423264019
863	0.2422929417
864	0.2422606317
865	0.2422272306
866	0.2421338836
867	0.2420952291
868	0.2420507322
869	0.2420262436
870	0.2420080311
871	0.2419861426
872	0.2419513403
873	0.2419164311
874	0.2418945861
875	0.2418667998
876	0.2418418862
877	0.2418086509
878	0.2417882075
879	0.2417558281
880	0.2417097576
881	0.2416505215
882	0.2415980224
883	0.2415524027
884	0.2415320041
885	0.24152131
886	0.2415047738
887	0.2414319493
888	0.2414149823
889	0.2413881689
890	0.2413709299
891	0.2413227982
892	0.2413016194
893	0.2412837123
894	0.2412364965
895	0.2412037632
896	0.2411775274
897	0.2411480578
898	0.2411005932
899	0.2410666103
900	0.24100923
901	0.2409750898
902	0.240951303
903	0.2409236921
904	0.2408789333
905	0.240858952
906	0.2408203202
907	0.2407945607
908	0.2407805044
909	0.2407712065
910	0.2407426448
911	0.2407225422
912	0.2407051461
913	0.2406867043
914	0.2406588664
915	0.2406283954
916	0.2405723978
917	0.2405368582
918	0.2404909092
919	0.2404552989
920	0.2404468734
921	0.2404158538
922	0.2403774975
923	0.2403543251
924	0.2403211561
925	0.2403024475
926	0.2402744161
927	0.2402446113
928	0.2401998176
929	0.2401794733
930	0.2401484146
931	0.2401179134
932	0.2400728848
933	0.2400470129
934	0.2400023091
935	0.2399895449
936	0.2399531877
937	0.2399143834
938	0.2398764086
939	0.2398489891
940	0.2398120954
941	0.2397784296
942	0.2397489109
943	0.2397232979
944	0.2396993537
945	0.2396723104
946	0.2396542409
947	0.239596235
948	0.2395579215
949	0.2394987689
950	0.2394706206
951	0.2394348763
952	0.2393892932
953	0.2393549271
954	0.2393331864
955	0.2393020095
956	0.2392729985
957	0.2392371524
958	0.2392200149
959	0.2391953234
960	0.2391462076
961	0.2391117565
962	0.2390953643
963	0.239074135
964	0.2389943094
965	0.238913631
966	0.2388664283
967	0.2388445517
968	0.2387998977
969	0.2387661018
970	0.2387523578
971	0.2387215939
972	0.2386978949
973	0.23867801
974	0.2386454793
975	0.2386016445
976	0.2385694689
977	0.2385585999
978	0.2385180823
979	0.2384884461
980	0.2384298004
981	0.2383765566
982	0.2383551268
983	0.2383327703
984	0.238263945
985	0.2382405028
986	0.2382109748
987	0.2381756757
988	0.2381495479
989	0.2381082099
990	0.2380494243
991	0.2380287277
992	0.237999012
993	0.2379698425
994	0.237955242
995	0.2379460484
996	0.2379043818
997	0.2378656796
998	0.2378503714
999	0.2378100687
